DATE,ID,ANVIL,HAMMER,FRAGMENTATION,WEIGHT,LENGTH,WIDTH,THICKNESS,FRAGMENTATION1,WEIGHT1,LENGTH1,WIDTH1,THICKNESS1,FRAGMENTATION2,WEIGHT2,LENGTH2,WIDTH2,THICKNESS2,ALMENDRAS,SHELLS,HCRABS,COCO,RESIDUE,SITE TYPE,SITE LOCATION,COMMENTS
3/28/18,BBC03/28/18#16,WoodenA,1,Whole,447,96,92,59,,,,,,,,,,,No,Yes,No,No,shell frags,1,Stream,same log as 12?
3/28/18,BBC03/28/18#17,StoneA,1,Refit,853,156,97,61,,,,,,,,,,,Yes,No,No,No,only almen dust,1,Stream,"refits 3, some Next to anv"
3/28/18,BBC03/28/18#18,StoneA,1,Refit,1022,158,114,62,,,,,,,,,,,N/A,No,No,No,almendras?,1,Stream,refit 3 pieces
3/28/18,BBC03/28/18#19,StoneA,1,Whole,983,177,101,56,,,,,,,,,,,Yes,Yes,No,No,other fruit?,1,Stream,leafs under hammer
3/28/18,BBC03/28/18#20,WoodenA,1,Whole,284,98,97,47,,,,,,,,,,,No,Yes,No,No,1 shell?,1,Stream,among trashes
3/28/18,BBC03/28/18#21,StoneA,1,Whole,747,124,114,58,,,,,,,,,,,Yes,No,No,No,"brushed on side + dust, on ham",1,Stream,"hamm next to a, a= broken (impact on h/a"
3/28/18,BBC03/28/18#22,WoodenA,3,N/A,1675,153,104,67,N/A,291,119,112,52,N/A,353,122,72,59,No,No,Yes,No,"shell, hammer frag?",1,Stream,"different hamm, breaks"
3/28/18,BBC03/28/18#23,WoodenA,1,Whole,287,116,77,65,,,,,,,,,,,No,Yes,No,No,fragment sheel,1,Other,"near beach, interface"
3/28/18,BBC03/28/18#24,WoodenA,1,Whole,172,73,61,57,,,,,,,,,,,No,Yes,No,No,shell frag,1,Other,"mear beach, interface, trash pile"
3/28/18,BBC03/28/18#25,WoodenA,1,Whole,206,83,76,32,,,,,,,,,,,Yes,No,No,No,half fruit under hammer,1,Other,near beach interface
7/25/17,01-BBC,wood,,,527,,,,,,,,,,,,,,,,,,,,,
7/25/17,02-BBC,stone,,,99,,,,,,,,,,,,,,,,,,,,,
7/25/17,03-BBC,stone,,,68,,,,,,,,,,,,,,,,,,,,,
7/25/17,04-BBC,stone,,,82,,,,,,,,,,,,,,,,,,,,,
7/25/17,05-BBC,stone,,,70,,,,,,,,,,,,,,,,,,,,,
7/25/17,06-BBC,stone,,,42,,,,,,,,,,,,,,,,,,,,,
7/25/17,07-CAMP, stored at Rancheria,,,593,,,,,,,,,,,,,,,,,,,,,potential shell hammerstone
7/28/17,08-BEACH,wood,,,1021,,,,,,,,,,,,,,,,,,,,,
