DATE,ID,ANVIL,HAMMER,FRAGMENTATION,WEIGHT,LENGTH,WIDTH,THICKNESS,FRAGMENTATION1,WEIGHT1,LENGTH1,WIDTH1,THICKNESS1,FRAGMENTATION2,WEIGHT2,LENGTH2,WIDTH2,THICKNESS2,ALMENDRAS,SHELLS,HCRABS,COCO,RESIDUE,SITE TYPE,SITE LOCATION,COMMENTS
03/26/19,190326T21,StoneA,1,Broken,495,121.55,65.78,58.93,,,,,,,,,,,No,Yes,No,No,one shell residue,1,Stream,next to T20
03/26/19,190326T22,StoneA,1,Whole,1487,145.46,98.83,95.16,,,,,,,,,,,No,No,No,No,residue+violet on both sides of h+anvil ,1,Stream,"anvil conglomerte rock, staining from almandras"
03/26/19,190326T23,StoneA,1,Whole,756,107.36,96.71,63.04,,,,,,,,,,,No,Yes,No,No,residue on hammer,1,Stream,hammer is hald a pebble
03/26/19,190326T24,StoneA,1,Whole,1150,121.29,107.68,87.47,,,,,,,,,,,No,Yes,No,No,almandra stains on hammer and anvil,1,Stream,
03/26/19,190326T25,StoneA,1,Whole,567,111.31,88.81,47.03,,,,,,,,,,,No,No,No,No,almandra residue on hammer,1,Stream,
03/26/19,190326T26,StoneA,1,Whole,837,121.21,76.12,73.21,,,,,,,,,,,No,No,No,No,,1,Stream,
03/26/19,190326T27,StoneA,1,Whole,298,94.21,60.47,47.24,,,,,,,,,,,No,Yes,No,No,,1,Stream,
03/26/19,190326T28,StoneA,1,Whole,552,116.34,85.09,62.52,,,,,,,,,,,No,No,No,No,almandra residue on hammer and anvil,1,Stream,
01/04/19,19010401,WoodenA,1,Refit,690,10.64,113.68,64.24,,,,,,,,,,,Yes,Yes,No,Yes,mostly almendras and residues sampled,3,Streambank,
01/04/19,19010402,StoneA,No,N/A,,,,,,,,,,,,,,,Yes,Yes,No,Yes,also with another type of fruit,3,Streambank,without clear hammers even heavy residue
01/04/19,19010403,StoneA,3,Broken,479,95.89,74.87,49.58,Broken,429,84.98,82.44,39.50,Broken,343,102.1,46.43,41.42,Yes,No,No,Yes,mostly almendras,3,Streambank,with 2 more hammer broken pieces
01/04/19,19010404,StoneA,2,Refit,756,138.89,62.81,56.21,Refit,1567,149.29,107.24,83.21,,,,,,Yes,Yes,No,Yes,"fresh almendras, hammer 2 captured in ca",3,Streambank,a heavy hammer (5 refits) 
01/04/19,19010405,StoneA,2,N/A,304,84.08,74.43,46.92,Whole,1214,153.94,88.33,59.04,,,,,,Yes,Yes,No,Yes,a type of fruit,3,Other,a higher platform along costal 
01/04/19,19010406,StoneA,1,Whole,684,136.14,81.26,57.83,,,,,,,,,,,Yes,No,No,No,2 fresh almendras with a few others,1,Stream,
01/04/19,19010407,StoneA,2,Whole,1253,143.05,103.14,86.90,Broken,339,77.57,65.16,44.48,,,,,,Yes,No,No,No,2 almendras,1,Stream,two anivils within 0.7m
01/04/19,19010408,StoneA,1,Whole,572,138.51,87.69,50.91,,,,,,,,,,,Yes,No,No,No,only almendras residue,1,Stream,2 anivils within 1m 
01/04/19,19010409,StoneA,2,Whole,567,130.85,83.05,65.97,Broken,211,85.50,71.44,46.13,,,,,,Yes,Yes,No,No,only few snails or crap shells,2,Streambank,very close to steam and site 06 07 08
01/04/19,19010410,WoodenA,1,Whole,1065,141.84,114.19,55.38,,,,,,,,,,,Yes,No,No,No,3-4 almendras and pebble hammer,1,Beach,
01/04/19,19010411,WoodenA,1,Whole,1192,151.28,113.44,95.69,,,,,,,,,,,Yes,No,No,Yes,few almendras on anvils and cocos near ,1,Streambank,wooden piece on the steambank 
01/04/19,19010412,StoneA,1,Broken,826,113.86,104.47,61.14,,,,,,,,,,,Yes,N/A,No,Yes,,3,Streambank,coverd by leaves no fresh residues
01/04/19,19010413,WoodenA,1,Whole,335,106.75,71.31,30.43,,,,,,,,,,,Yes,Yes,No,Yes,,2,Beach,tree root and truck made as anvil
01/04/19,19010414,WoodenA,1,Whole,593,113.31,93.71,51.76,,,,,,,,,,,No,No,No,Yes,microresidue of almendra maybe,1,Beach,on steam bank where very close to costal
01/04/19,19010415,WoodenA,1,Whole,416,123.35,94.87,46.40,,,,,,,,,,,Yes,No,No,No,2 almendras ?,1,Beach,
